gene,logFC,P.Value,adj.P.Val
CLDN4,1.33401919273638,4.18512161381429e-13,6.626603306694227e-11
EGFL6,-1.58053745779662,4.19405272575584e-13,6.626603306694227e-11
SUN5,-1.28359038749248,4.21977909392682e-13,6.631597219910235e-11
PAQR5,-1.64429102725368,4.36666350755168e-13,6.825931231911105e-11
CLCNKA,-1.84742756481381,4.43589306191923e-13,6.89746165627949e-11
ANXA2P1,1.00235558861217,4.52236167932874e-13,6.994903422742789e-11
ACADL,-1.47082746210077,4.6741099186842e-13,7.172841559787173e-11
LACTB,0.516113172697696,4.68621743391567e-13,7.172841559787173e-11
FUT5,1.32212767752312,4.75873254556678e-13,7.24609492482469e-11
PDE8B,-1.18629427328228,4.89339191507017e-13,7.412732041241348e-11
GLUL,-1.27952144370667,5.01202633587192e-13,7.553509228646358e-11
PLEKHM3,-1.47033653158354,5.17338293603115e-13,7.75690702673895e-11
XLOC_l2_002611,-2.3789281686047,5.87432423532213e-13,8.763179727291712e-11
LOC644192,-0.875395166924625,6.18450600439809e-13,9.179306184709649e-11
XLOC_005517,-0.753465921539782,6.64064427379631e-13,9.806796679312862e-11
TMEM37,-1.27891862729786,6.79090831751321e-13,9.978560681753911e-11
RAB3B,1.45264193088502,7.25528205269608e-13,1.0566336945208268e-10
GCNT3,1.81174587999672,7.27019881218399e-13,1.0566336945208268e-10
IPW,-0.742638836376011,7.29878317638927e-13,1.0566336945208268e-10
RGN,-1.5157474597135,7.40030502411528e-13,1.0623028867306982e-10
CCL15,1.97800596556197,7.41023859329635e-13,1.0623028867306982e-10
CKM,-3.26624444795035,7.51733546831717e-13,1.0724245375869175e-10
SERPINB5,2.8198444725381,7.73561293051245e-13,1.0982328154681152e-10
HDC,-1.91226377912326,8.01620287378595e-13,1.132596971417411e-10
OBSL1,-0.715551047435573,8.17989037006365e-13,1.1501943454326822e-10
CDK14,-1.02702213495227,8.40542892074132e-13,1.1747651672128412e-10
SLC25A36,-0.639621764711666,8.434580450588999e-13,1.1747651672128412e-10
TMEM132A,-1.20003068992823,8.97149260959832e-13,1.243652003824884e-10
INPP1,1.13552697481904,9.05481000058157e-13,1.2493087150098178e-10
STARD5,0.947120330283677,9.26960247090035e-13,1.272967651471119e-10
PTPRM,-0.914337663748659,9.33316807174502e-13,1.275735550197408e-10
C20orf118,2.17578335259789,9.46601092825713e-13,1.2879033757389838e-10
FUT3,1.44843175265166,9.54456399627483e-13,1.2901323096135584e-10
CECR5-AS1,-0.89424810165595,9.57019339511895e-13,1.2901323096135584e-10
TMEM150B,1.18209175212425,9.77064813643531e-13,1.311140673212607e-10
ABP1,2.10123995616234,1.00744042859225e-12,1.3406379909171389e-10
KCNJ16,-3.06979327631096,1.00816998772522e-12,1.3406379909171389e-10
XLOC_002678,-0.9953863479823,1.02150438226071e-12,1.3522509363007995e-10
PGM2,0.617096549841868,1.0352666974500199e-12,1.3643236638861519e-10
MYRIP,-1.58133359580801,1.11447186419492e-12,1.4621472832571567e-10
LOC100505535,1.29604886641992,1.17880232554953e-12,1.5396730108110927e-10
ZMYND15,0.679293381422515,1.2325698018952e-12,1.6027770503582362e-10
KCNMB2,-1.45576036828324,1.32681649424886e-12,1.717730534492753e-10
FBXL13,-1.73141187363519,1.3911915088951298e-12,1.7881576538011913e-10
XLOC_l2_008124,0.948523220179456,1.39338540465657e-12,1.7881576538011913e-10
SNURF,-1.03923683701376,1.4532696245356099e-12,1.856899466341413e-10
LOC100306951,-0.619447004035063,1.4783602606272299e-12,1.870203952894148e-10
LOC285141,-1.10502322128934,1.4807628310374e-12,1.870203952894148e-10
C21orf30,-2.24247140523247,1.4827736525940399e-12,1.870203952894148e-10
ASPHD1,-0.930952120431639,1.5269723199443899e-12,1.9177206213045183e-10
ZNF204P,-0.763961101520112,1.5358156100616999e-12,1.92061911270184e-10
OR52K2,-1.94391977646303,1.54947831412349e-12,1.929494436248353e-10
XLOC_l2_006027,-1.63717976397396,1.58707904362269e-12,1.9679780140921354e-10
XLOC_011486,-1.70051468914769,1.6105686448788e-12,1.9868758425688977e-10
ANKAR,-0.567711031901691,1.61584090912606e-12,1.9868758425688977e-10
PSMD1,0.457305612230888,1.7117343176269398e-12,2.096018671934188e-10
ST14,0.54871575142345,1.74914473034296e-12,2.1329404703451828e-10
ND4,-0.783563244615943,1.76570527753698e-12,2.138929018488753e-10
GTF2IRD2,-0.56023349726515,1.7686121937279399e-12,2.138929018488753e-10
XLOC_011294,-1.14710568359815,1.77675836849282e-12,2.1399743825109423e-10
CD58,0.701764839538987,1.78474019243832e-12,2.1408140724643814e-10
ZNF626,-0.679645424962865,1.84646570418094e-12,2.2058509802629862e-10
C19orf21,1.49597902065277,1.8710188282853097e-12,2.2261336569088536e-10
XLOC_006757,-1.99527874661944,1.8882523890946398e-12,2.237579081077148e-10
TM7SF2,-0.962764277184188,1.92349016082553e-12,2.2549280974744317e-10
LARP6,-1.40546732209845,1.92385222759999e-12,2.2549280974744317e-10
FXYD4,-2.46125182673445,1.92591177509896e-12,2.2549280974744317e-10
ONECUT3,1.51442452903227,1.94863407676636e-12,2.262540682903536e-10
EIF5A2,-1.24249947640792,1.9513651521995e-12,2.262540682903536e-10
ATL3,0.605590757450802,1.95551018598577e-12,2.262540682903536e-10
SCARB1,0.593631039858829,2.08797279747132e-12,2.4063272381210646e-10
CCRL2,1.14528715536595,2.11436527108123e-12,2.4063955786053603e-10
CA9,-1.29953163232,2.11643774504441e-12,2.4063955786053603e-10
FAM54B,-0.435654406040925,2.1181285524729097e-12,2.4063955786053603e-10
PACSIN1,-1.65098720724981,2.1207855412371997e-12,2.4063955786053603e-10
XLOC_006689,-1.59146756126423,2.21495944711358e-12,2.503585701222073e-10
XLOC_l2_013737,1.05168888815929,2.2379738735602996e-12,2.5192283914671546e-10
XLOC_012210,-2.12172692301119,2.24594337336462e-12,2.5192283914671546e-10
LOC150622,-1.71852989554344,2.27061011121298e-12,2.537212545563766e-10
RNF130,-0.556845535686871,2.3214142760427996e-12,2.584156164558553e-10
CXCL16,0.636930442893777,2.33656321870372e-12,2.5912045234439593e-10
ANXA4,0.575582456755139,2.35165491726826e-12,2.596010227776704e-10
RIMS4,-1.45808324111491,2.35856380432959e-12,2.596010227776704e-10
CALML4,1.12976131277498,2.5803514723339097e-12,2.8295286966025723e-10
KCNIP3,-1.42992109845279,2.6127569201573698e-12,2.8544126531444154e-10
PTF1A,-1.57536870595283,2.6718465071712897e-12,2.9081564871388836e-10
ENPP5,-1.69066673109592,2.70373020965774e-12,2.9320008635210943e-10
SNTB1,-1.07610006239752,2.73218419980591e-12,2.95196431117265e-10
ATP4B,-4.4156028859971,2.7489256610400997e-12,2.959173162148222e-10
EPB41L4A-AS1,-0.578064410113038,2.76501635957483e-12,2.965631415152741e-10
BAK1,0.710334599385,2.85960917079488e-12,3.0467708853318744e-10
IGFBP2,-0.832558117246016,2.86140181145909e-12,3.0467708853318744e-10
TWF1,0.359955028121115,2.9597052542289098e-12,3.1400656321761447e-10
HS3ST4,-1.01244714854201,3.13483969364824e-12,3.313908953846564e-10
LOC100506090,-1.54538210469239,3.1971808453187397e-12,3.3676971570690725e-10
S100A10,1.20632845875124,3.23350317134864e-12,3.393792542842637e-10
XLOC_012829,-1.5865945459731,3.32204080887657e-12,3.474310864457816e-10
LOC339352,-0.488072804842647,3.40295949498643e-12,3.5463182141369224e-10
LOC439990,1.1590244566363,3.46514288330534e-12,3.598361097334888e-10
DUX4L9,-0.678496607260432,3.56238235855743e-12,3.6863131251156957e-10
AKNAD1,-0.917434994934888,3.5903145022880297e-12,3.7021811436224775e-10
SLC6A14,2.35512460630824,3.7156841589143996e-12,3.8180603518243486e-10
NACC2,0.563984044336549,3.73314248993027e-12,3.822633849967623e-10
GPR37L1,1.1486750859006,4.25076525848228e-12,4.33755171584296e-10
CACNA2D3,-0.905067119053702,4.2862638799011394e-12,4.358640930883553e-10
TNFRSF1A,0.498009853058428,4.33931463965473e-12,4.390173601450185e-10
CCKAR,-1.62933930127738,4.3471502586838296e-12,4.390173601450185e-10
LYN,0.812723246913949,4.37722581605683e-12,4.4054079548725383e-10
ODF3,-0.816399568054456,4.6094723502327995e-12,4.612155357002753e-10
LOC100505601,-1.28410100464129,4.61403863807952e-12,4.612155357002753e-10
TMEM45B,1.00793455873034,4.7616085953526694e-12,4.743530623736415e-10
LOC100506965,-1.17936036216655,4.845966830831049e-12,4.811259230556179e-10
TBC1D7,0.409016221270194,4.88840106601092e-12,4.837048165923532e-10
RNLS,-1.53515774343227,5.0874804823471595e-12,5.016663197284059e-10
SLC1A2,-1.52408790432155,5.10406388998208e-12,5.016663197284059e-10
NPHS1,-1.48983607299868,5.1728850148743195e-12,5.067358160570883e-10
ISY1-RAB43,0.621771456147668,5.3047722907493895e-12,5.179290633905085e-10
LOC100653103,-0.796399338262884,5.39220237767579e-12,5.2472199826204e-10
FUT1,-1.27159861300494,5.49337189389297e-12,5.328026838868864e-10
ETS2,0.950281542478025,5.5531307184909495e-12,5.354112656223801e-10
RTDR1,-1.36494630771997,5.5567046418547e-12,5.354112656223801e-10
XLOC_l2_013480,0.96623970463085,5.73439833215219e-12,5.491966131904924e-10
CEACAM7,1.66753536045697,5.74327426442632e-12,5.491966131904924e-10
MFSD2A,2.12900700970625,5.755837650152159e-12,5.491966131904924e-10
PTPRS,-0.784730378529644,5.80506085188031e-12,5.521007388836847e-10
CYFIP2,-0.957597332147375,6.0233845622597395e-12,5.710168565022233e-10
ERI1,0.602115550561161,6.0812307628084495e-12,5.74646976390401e-10
AFAP1L2,1.10162272721968,6.12077284002566e-12,5.76529718662417e-10
HSPB7,-1.0208510041676,6.22311168778466e-12,5.842965056888676e-10
RHOC,0.704730602148391,6.4366384147634394e-12,6.019973245632315e-10
SFT2D2,0.636058635888305,6.45260505095338e-12,6.019973245632315e-10
HNRPLL,0.448182743111309,6.652816274620179e-12,6.173043824676872e-10
TBC1D1,0.548066109136566,6.65868685321413e-12,6.173043824676872e-10
VTA1,0.49704558497887,6.73816807037394e-12,6.227084378998407e-10
CCDC110,-1.24857844691996,6.79743818377789e-12,6.262166562534941e-10
LOC100128131,-2.16386416380712,6.83820181459417e-12,6.28003359147792e-10
C7orf41,-0.930421420961874,7.0184904412015696e-12,6.407524820448928e-10
SNORD116-19,-1.07156738700083,7.02063084314875e-12,6.407524820448928e-10
ERBB4,-0.874938310288395,7.10318898645803e-12,6.462802412818222e-10
GHRL,-2.53593909749859,7.36417556963961e-12,6.679579988906445e-10
C11orf85,-1.63821871572077,7.676186224522359e-12,6.931608936670942e-10
DCXR,-0.70018778296429,7.689208225652399e-12,6.931608936670942e-10
XLOC_011184,-0.588491609468969,8.25151663818499e-12,7.415766696115612e-10
REC8,-1.26582815859573,8.36086665767453e-12,7.491132601699364e-10
NAT1,0.866219054848545,8.53325737469704e-12,7.62235160266251e-10
HMOX2,-0.509739002524256,8.61962701629063e-12,7.676169659234819e-10
XLOC_011754,-1.66074453698526,8.70401732286187e-12,7.727905168708901e-10
XLOC_002302,-1.87238928899337,8.93534011947591e-12,7.899217435881822e-10
SETBP1,-0.845139095849826,8.95072616764886e-12,7.899217435881822e-10
POPDC3,-1.59436695137283,9.167371519873569e-12,8.066189048683965e-10
ANKHD1-EIF4EBP3,-0.50779458843594,9.32776864545771e-12,8.182819849334662e-10
PTAFR,1.34754055588938,9.660148684454109e-12,8.427224373397319e-10
LMAN1L,-1.43907616892528,9.663721974393959e-12,8.427224373397319e-10
PARP12,0.698183339804386,9.708275767802579e-12,8.441029830301248e-10
HMGA1,0.704396923699464,1.00696644031391e-11,8.729418804703594e-10
PP7080,-1.67103828706896,1.0141821846194499e-11,8.766113541645998e-10
GABRG2,-1.60175583785275,1.1092715315322499e-11,9.559903744477935e-10
GRK6,0.326652570042945,1.1333749637766198e-11,9.737219285657463e-10
LOC100507656,-1.96733316997999,1.13647278310212e-11,9.737219285657463e-10
GCH1,0.694789821955651,1.1543286292516699e-11,9.861456324548859e-10
XLOC_l2_012552,-1.48665136569749,1.15811865977655e-11,9.865156861887898e-10
HBZ,-1.11208761646961,1.1685391085320598e-11,9.925152405069415e-10
PDGFD,-1.13993847604189,1.1899232714167399e-11,1.0057207860541364e-09
LOC388242,1.12087723595733,1.1909311063932199e-11,1.0057207860541364e-09
CHAD,-1.85348848264361,1.2066733374648198e-11,1.016095015513356e-09
TMEM211,-1.33051971893174,1.2133275891596e-11,1.018779176863495e-09
ANKRD24,-1.823821176831,1.2185533747099899e-11,1.0202520392016291e-09
B3GAT1,-2.52032017283472,1.2303146290714099e-11,1.0271729067940508e-09
SEC23A,0.738280015213725,1.2660656527894499e-11,1.0540265553591035e-09
LMAN2,0.427101953127498,1.2822468400947399e-11,1.0644822072515315e-09
DGKD,-0.852687063084479,1.3196839672213499e-11,1.092475279681719e-09
LOC100240734,-1.30160693693117,1.3378977077993198e-11,1.1042792537534083e-09
LOC100131034,-1.11354316632812,1.3414580563153899e-11,1.1042792537534083e-09
LOC100505974,-1.5108058955473,1.3487457318723499e-11,1.1071770829124195e-09
CPA2,-2.92507760711344,1.3572385210297e-11,1.111045282897516e-09
LOC388588,-1.19282360411725,1.3800256906783698e-11,1.1265609721571093e-09
COL2A1,-2.53774029323229,1.3899486839472798e-11,1.1313101471164465e-09
ZCWPW1,-0.602027863533189,1.3935425114201499e-11,1.1313101471164465e-09
BEX2,-1.34655162888948,1.39768356081385e-11,1.1313617050889911e-09
PDILT,-2.32577153565007,1.4024249560145198e-11,1.1313617050889911e-09
INPP4A,0.898781548173265,1.4051552414505299e-11,1.1313617050889911e-09
C14orf1,0.547169158196202,1.4346529334650099e-11,1.1519557488707571e-09
FLJ33630,-0.514697347836385,1.4446404268971699e-11,1.1568145195001097e-09
NIM1,-1.15241636469404,1.4567894517260798e-11,1.163373054546903e-09
DIRC3,-2.08149578416938,1.4684585142895e-11,1.1695137891040604e-09
